ID,NAME,PROF,TIME1,TIME2,CREDITS,YEAR
NE203-00,핵공학개론I,정범진,월 09:00-10:15 (공365호),수 09:00-10:15 (공365호),3,2
NE354-00,고체역학,장윤석,금 09:00-11:45 (공365호),,3,3
NE413-00,노심설계,박호진,화 12:55-14:45 (공149호),목 12:55-14:45 (공149호),3,4
NE446-00,독립심화학습1(원자력공학과),장근옥 / 박광헌,금 13:30-16:15 (공272호),,3,"3,4"
NE359-00,수치해석,장근옥,화 13:30-14:45 (공365),목 13:30-14:45 (공365),3,3
NE465-00,열수력학설계,김형대,화 09:00-10:15 (공272호),목 09:00-10:15 (공272호),3,4
NE201-00,원자및핵물리,김광표,월 12:00-13:15 (공365호),수 12:00-13:15 (공365호),3,2
NE222-00,유체역학,장근옥,화 09:00-10:15 (공365호),목 09:00-10:15 (공365호),3,2
NE357-00,핵및방사화학,정재학,월 12:00-13:15 (공363호),수 12:00-13:15 (공363호),3,3
NE205-00,공학수학1,우승민,화 13:30-14:45 (공165호),목 13:30-14:45 (공165호),3,2
NE101-00,원자력디지털전환,허균영,화 09:00-10:15 (공244호실),목 09:00-10:15 (공244호실),3,1
AMIE471-00,고체물리,정선호,화 15:00-16:15 (공263호),목 15:00-16:15 (공263호),3,3
AMIE471-01,고체물리,정선호,화 16:30-17:45 (공263호),목 16:30-17:45 (공263호),3,3
AMIE251-00,물리화학,박윤석,월 09:00-10:15 (공263호),수 09:00-10:15 (공263호),3,2
AMIE261-00,유기화학,장보규,화 13:30-14:45 (공263호),목 13:30-14:45 (공263호),3,2
AMIE220-01,재료과학,윤성민,월 10:30-11:45 (공263호),수 10:30-11:45 (공263호),3,2
AMIE220-02,재료과학,윤성민,월 13:30-14:45 (공263호),수 13:30-14:45 (공263호),3,2
AMIE4001-00,졸업논문(고분자.섬유신소재전공),이제욱,토 09:00-09:50 (),,0,4
AMIE400-00,졸업논문(정보전자신소재공학),이제욱,토 10:30-11:20 (),,0,4
AMIE394-00,중급신소재및실험,이제욱,화 12:00-13:15 (공B102호),금 10:30-11:45 (공367호),3,3
AMIE394-01,중급신소재및실험,박윤석,화 12:00-13:15 (공B103호),금 13:30-14:45 (공367호),3,3
AMIE352-00,결정구조학,박민식,월 10:30-11:45 (공B105호),수 10:30-11:45 (공B105호),3,3
AMIE461-00,고분자공학,이제욱,월 13:30-14:45 (공102-1호),수 13:30-14:45 (공102-1호),3,4
AMIE275-00,금속재료상변태,이빈,월 15:00-16:15 (공263호),수 15:00-16:15 (공263호),3,2
AMIE476-00,나노콜로이드공학,정선호,화 10:30-11:45 (공102-1호),목 10:30-11:45 (공102-1호),3,4
AMIE3103-00,독립심화학습1(정보전자신소재공학과),박윤석,수 16:30-19:15 (공263호),,3,"3,4"
AMIE477-00,반도체메모리공학,윤성민,화 09:00-10:15 (공263호),목 09:00-10:15 (공263호),3,4
